slice_id,label,evidence_layer,claim_tier,coverage,comparison,comparison_role,cell_count,sample_count_minimum,sample_count_maximum,median_of_cell_medians,minimum_cell_median,maximum_cell_median,minimum_cell_downside_0.05,maximum_worst_observed_relative_shortfall,median_left_cash_drag,median_left_asset_exposure,median_left_guardrail_activation_frequency,median_left_purchase_count,mean_terminal_wealth_gap,mean_cash_contribution,mean_unit_contribution,cash_unit_identity_residual,cost_scope,aggregation
deterministic-primary,Deterministic primary catalog,deterministic,deterministic stress evidence,0.5,corrected_guarded_vs_dca,complete-system performance,14,1,1,-0.008594244604942299556429631493807882819911366824341222407853395,-0.085645614130186013650917330385786707094025698463418838593974,0.348798972438855647429887465699459992702303997273286110162718,-0.085645614130186013650917330385786707094025698463418838593974,0.085645614130186013650917330385786707094025698463418838593974,0.157084609419000129523775920850193719277492225936740787980269,0.8477506322325302627321346943275499484199981789721210749202165,0.428571428571428571428571428571428571428571428571428571428571,5.5,-61.28270815175237137213543876171336557736124059676488778892714285714285714285714285714285714285714286,937.9146511665764040621358218023707768700972954672492473807827857142857142857142857142857142857142857,-999.1973593183287754342712605640841424474585360640141351697099285714285714285714285714285714285714286,-4E-98,gross frictionless; epsilon-DCA theorem scope for guarded policies,descriptive across source aggregate cells; no cross-layer pooling
deterministic-primary,Deterministic primary catalog,deterministic,deterministic stress evidence,0.5,corrected_guarded_vs_neutral_guarded,corrected-mean signal contribution,14,1,1,0.00422758127929904030927094850481012680240755429183000663449179,-0.0557683976320804647268305226717346024278133518284169729606172,0.0276704001336416247252564999279123900030986079994271082613926,-0.0557683976320804647268305226717346024278133518284169729606172,0.0557683976320804647268305226717346024278133518284169729606172,0.157084609419000129523775920850193719277492225936740787980269,0.8477506322325302627321346943275499484199981789721210749202165,0.428571428571428571428571428571428571428571428571428571428571,5.5,27.50875309640088852763664417423133694737114166096025011821642857142857142857142857142857142857142857,-6.505664595550929037349470988588538543315779195486044451200071428571428571428571428571428571428571429,34.0144176919518175649861151628198754906869208564462945694165,0E-98,gross frictionless; epsilon-DCA theorem scope for guarded policies,descriptive across source aggregate cells; no cross-layer pooling
deterministic-primary,Deterministic primary catalog,deterministic,deterministic stress evidence,0.5,neutral_guarded_vs_dca,safety-architecture behavior,14,1,1,-0.02197616848417594664113881129418109721918827623596217360804955,-0.0750809426039131161857336628328285549712926661587915048588785,0.4284620098039215686274509803921568627450980392156862745098,-0.0750809426039131161857336628328285549712926661587915048588785,0.0750809426039131161857336628328285549712926661587915048588785,0.1717242324561403508771929824561403508771929824561403508771925,0.857678257462747272192354259240710047897592547490936857235122,0.428571428571428571428571428571428571428571428571428571428571,5.5,-88.79146124815325989977208293594470252473238225772513790714357142857142857142857142857142857142857143,944.4203157621273330994852927909593154134130746627352918319828571428571428571428571428571428571428571,-1033.211777010280592999257375726904017938145456920460429739126428571428571428571428571428571428571429,-4.7E-97,gross frictionless; epsilon-DCA theorem scope for guarded policies,descriptive across source aggregate cells; no cross-layer pooling
deterministic-primary,Deterministic primary catalog,deterministic,deterministic stress evidence,0.75,corrected_guarded_vs_dca,complete-system performance,14,1,1,-0.00852086396292280667575418078643956587716651852282928784084372,-0.0497779554821360010156347428296690434559388162065854801812415,0.261054742372602351052781758983544708719912301355909034029994,-0.0497779554821360010156347428296690434559388162065854801812415,0.0497779554821360010156347428296690434559388162065854801812415,0.1354202140325210861976185609309107280446440123651756282111835,0.8810781422673515826994572512599743811804663022901986681578445,0.9285714285714285714285714285714285714285714285714285714285715,5.5,-61.58045454804831359027847873213199832683709169813450186545785714285714285714285714285714285714285714,754.4264162224321591754456388182328798674655617986816214710832142857142857142857142857142857142857143,-816.0068707704804727657241175503648781943026534968161233365410714285714285714285714285714285714285714,4E-98,gross frictionless; epsilon-DCA theorem scope for guarded policies,descriptive across source aggregate cells; no cross-layer pooling
deterministic-primary,Deterministic primary catalog,deterministic,deterministic stress evidence,0.75,corrected_guarded_vs_neutral_guarded,corrected-mean signal contribution,14,1,1,0.0010668164611736313204416446105023045647500655925816429425649695,-0.0290110893377547337798676803367985423046266122224696882685999,0.0151981995923582953590409264034979534049726632478089380602593,-0.0290110893377547337798676803367985423046266122224696882685999,0.0290110893377547337798676803367985423046266122224696882685999,0.1354202140325210861976185609309107280446440123651756282111835,0.8810781422673515826994572512599743811804663022901986681578445,0.9285714285714285714285714285714285714285714285714285714285715,5.5,10.11082647654586639260231577352470764969281897380652700096071428571428571428571428571428571428571429,28.42244982532229487704836785372938832806694276871506314574864285714285714285714285714285714285714286,-18.31162334877642848444605208020468067837412379490853614478792857142857142857142857142857142857142857,0E-98,gross frictionless; epsilon-DCA theorem scope for guarded policies,descriptive across source aggregate cells; no cross-layer pooling
deterministic-primary,Deterministic primary catalog,deterministic,deterministic stress evidence,0.75,neutral_guarded_vs_dca,safety-architecture behavior,14,1,1,-0.0165790886420190613215903381961648593569597252684319948160128,-0.0452615189338337761757000315873576246307066277708615916312066,0.298732383578431372549019607843137254901960784313725490196082,-0.0452615189338337761757000315873576246307066277708615916312066,0.0452615189338337761757000315873576246307066277708615916312066,0.1267264229910714285714285714285714285714285714285714285714285,0.885029455038459619887090562900238886327468657041227201327440,1,5.5,-71.69128102459417998288079450565670597652991067194102886641857142857142857142857142857142857142857143,726.0039663971098642983972709645034915393986190299665583253345714285714285714285714285714285714285714,-797.6952474217040442812780654701601975159285297019075871917531428571428571428571428571428571428571429,-7E-98,gross frictionless; epsilon-DCA theorem scope for guarded policies,descriptive across source aggregate cells; no cross-layer pooling
deterministic-primary,Deterministic primary catalog,deterministic,deterministic stress evidence,0.9,corrected_guarded_vs_dca,complete-system performance,14,1,1,-0.00343420643036785983356966810958156830247679051852366171496985,-0.0199111821928544004062538971318676173823755264826341920724961,0.108241448877462671606663530139744565735442857512254450384676,-0.0199111821928544004062538971318676173823755264826341920724961,0.0199111821928544004062538971318676173823755264826341920724961,0.05817940855593892447075802307864046419536698602340087668227655,0.9511251916111101171726218683334622468828956411518683974687375,1,5.5,-24.13998436900757548984014107394725314863850390661519255918,319.5664002660909652503612087169368035413183688940388739663199285714285714285714285714285714285714286,-343.7063846350985407402013497908840566899568728006540665254999285714285714285714285714285714285714286,0E-97,gross frictionless; epsilon-DCA theorem scope for guarded policies,descriptive across source aggregate cells; no cross-layer pooling
deterministic-primary,Deterministic primary catalog,deterministic,deterministic stress evidence,0.9,corrected_guarded_vs_neutral_guarded,corrected-mean signal contribution,14,1,1,0.0001941230060059964549547263550206019790512576095975341353414105,-0.0100505362891501398802280328196642708901867154931894209657596,0.00692621957186933406577648541787769606952745362334661554104906,-0.0100505362891501398802280328196642708901867154931894209657596,0.0100505362891501398802280328196642708901867154931894209657596,0.05817940855593892447075802307864046419536698602340087668227655,0.9511251916111101171726218683334622468828956411518683974687375,1,5.5,4.679737969262944096703480543455017458443263869860758013449285714285714285714285714285714285714285714,16.97987646381414876494135832818630588690113566360817111833214285714285714285714285714285714285714286,-12.30013849455120466823787778473128842845787179374741310488285714285714285714285714285714285714285714,6E-99,gross frictionless; epsilon-DCA theorem scope for guarded policies,descriptive across source aggregate cells; no cross-layer pooling
deterministic-primary,Deterministic primary catalog,deterministic,deterministic stress evidence,0.9,neutral_guarded_vs_dca,safety-architecture behavior,14,1,1,-0.00641010270984595923294589760990928814185554321116550629033878,-0.0181046075735335104702800126349430498522826511083446366524856,0.119492953431372549019607843137254901960784313725490196078429,-0.0181046075735335104702800126349430498522826511083446366524856,0.0181046075735335104702800126349430498522826511083446366524856,0.05392011767700501253132832080200501253132832080200501253132875,0.9537420506094775490825150378809362738982609510883846451058745,1,5.5,-28.81972233827051958654362161740227060708176777647595057262928571428571428571428571428571428571428571,302.5865238022768164854198503887504976544172332304307028479877857142857142857142857142857142857142857,-331.4062461405473360719634720061527682614990010069066534206170714285714285714285714285714285714285714,1E-98,gross frictionless; epsilon-DCA theorem scope for guarded policies,descriptive across source aggregate cells; no cross-layer pooling
deterministic-primary,Deterministic primary catalog,deterministic,deterministic stress evidence,1,corrected_guarded_vs_dca,complete-system performance,14,1,1,0,0,0,0,0,0,1,1,5.5,0,0,0,0,gross frictionless; epsilon-DCA theorem scope for guarded policies,descriptive across source aggregate cells; no cross-layer pooling
deterministic-primary,Deterministic primary catalog,deterministic,deterministic stress evidence,1,corrected_guarded_vs_neutral_guarded,corrected-mean signal contribution,14,1,1,0,0,0,0,0,0,1,1,5.5,0,0,0,0,gross frictionless; epsilon-DCA theorem scope for guarded policies,descriptive across source aggregate cells; no cross-layer pooling
